comment,date,author,like_count,reply_count
Sher Singh Rana bhi galat nahi tha. 🙂,2023-01-30T01:42:18Z,gamers way,0,0
Please cover Soni Sori’s story!!,2023-01-29T18:11:14Z,Bloody Bold,0,3
off topic but never noticed your cool ear piercings,2023-01-29T13:11:59Z,Mistu Roy,0,0
"She suffered the hell but unfortunately she was not able to kill the Criminals ,they were Barati who were innocent somehow ,she is also dead and criminal is still living",2023-01-29T07:57:36Z,Anjali Ojha,0,0
Long live Phoolan Devi in our hearts.,2023-01-28T10:24:01Z,Thesheenlife,0,0
Vai ak bat batau muja tum muthal lagta ho bohot bare,2023-01-28T05:59:13Z,jemes halhed,0,0
Please make a video on Elisabeth fritzl case 🙏🙏,2023-01-27T08:02:07Z,MUNNA BHAI YT,0,0
When  a baman makes a documentary or video on us they smartly removes the caste discrimination angles. Good job baman,2023-01-27T06:21:26Z,Ravi Kumar,0,0
Kya bakwas hai ek book ke uper Puri video bana di thore aur sources se padh leta bhai sab apne aap ko culprit hi dikhate hai like Bollywood movie,2023-01-26T22:02:30Z,Himanshu 😀,0,0
"Vikram was the only man who cared for her.
Every one has sad story",2023-01-26T19:38:04Z,GoodBetterBest,0,0
shakal to khudka har video pe aise lagaya rakhta hai jaise ki ye khud hi mujrim hai video ka xD,2023-01-26T11:14:53Z,Shizuka Chan,0,0
Stop whitewashing terrorists.,2023-01-26T10:24:16Z,Charvaka,0,0
"I was searching for a channel who can tell even minute details of a case study and found your channel... have watched almost all of your videos, really loved your work. And just wanted to request you to please cover the story of Ted Bundy as well.",2023-01-26T07:51:58Z,Purti Rohatgi,3,0
"Apart from the cases you put so much effort in, i honestly think that you should get a tv show or something big.. you got looks, you're Mashaa Allah so intelligent and your voice is also very good to deliver good dialogues.. In Shaa Allah, you'll go big, boy 😊",2023-01-26T01:52:40Z,Strings with Sana,4,0
She was a wicked and evil individual. No matter what you say this fact cant be said,2023-01-25T22:15:52Z,Endroholic,1,0
OK so I am from Morena and my house is right behind the house of daku Mangal Singh's house 🙃🙃and my grandparents were pretty good friends/neighbors to the house members and rest idk,2023-01-25T21:29:30Z,Anadi Shrivastava,0,0
So Mur Respect For Phoolan Devi Ji🙏❤️,2023-01-24T16:28:59Z,Rituraj Aycheng,0,0
"not one ,2  movie. hindi Bandit Queen which won National award. in Bangla ""phoolan devi""",2023-01-24T16:16:51Z,Blue Sky,0,0
"Why is everyone appreciating Phoolan Devi in comment section? She was just muderer in the end. Although she made huge objectives for woman safety in UP when she became politicians, how many of them could she achieve? She was incompetent in everything she did (except revenge killing ig). Instead questioning her accountability, people always admired for her tragic past. That's what is wrong with us Indians.",2023-01-24T11:28:12Z,Ashwani Kumar Mishra,0,0
the movie name is bandit queen,2023-01-24T10:48:39Z,munmun kalita,0,0
Bhai ne to sacchai hi chupa di sabko pata hai ki vo daku kyu bani ye ....badi jati ke logo ne unka rap kiya ta or isne to jhut bataya pure video me.,2023-01-24T05:52:08Z,Vikas Walmik,1,0
This woman was the epitome of fighting for violence against women. Unlike the fake female gurus and influencers today on social media. It is sad that people cannot see through their facade.,2023-01-24T04:12:23Z,Nirbhay Raghav,0,0
Phoolan Devi will always be a gem,2023-01-23T23:19:38Z,the HUMANIST,0,0
Sher singh Rana Zindabad…. Unke upper bhi case study Lao.. jinhone Tihar se nikalkar Afganistan se Prithvi raj Chauhan ki asthi India layi,2023-01-23T19:59:28Z,saxhin parmar,0,0
She killed rajputs and here we go boom💥,2023-01-23T16:21:51Z,Aditya Pratap Singh,0,0
Veer Sher Singh Rana 🚩,2023-01-23T06:36:07Z,Vrushik Sagar,0,0
Iove you bro❤️❤️🙆‍♀️🙆‍♀️,2023-01-23T05:10:45Z,Munshain🇳🇵,0,0
